dataset_name,N,unique_items,mean_age,min_age,max_age,prop_looking,prop_looking_lower_ci,prop_looking_upper_ci
adams_marchman_2018,69,8,17,14,19,0.6439790271867569,0.6255075090718392,0.6624505453016747
casillas_tseltal_2015,23,30,31,9,48,0.5858036321047612,0.5435295352950847,0.6280777289144376
frank_tablet_2016,108,24,34,12,60,0.5321977312613514,0.5059660126194334,0.5584294499032694
garrison_bergelson_2020,30,87,15,12,18,0.5957678772381143,0.5549724217353642,0.6365633327408644
mahr_coartic,29,10,21,18,24,0.69989713433418,0.6694125048592434,0.7303817638091166
perry_cowpig,45,12,20,19,22,0.6047741030049001,0.5793629455214065,0.6301852604883936
pomper_saffran_2016,60,40,44,41,47,0.7665927079103861,0.7463993036789062,0.7867861121418661
pomper_salientme,44,16,40,38,43,0.7282383630691373,0.7109854495032897,0.7454912766349848
potter_canine,36,16,24,21,27,0.6412036629187851,0.6102546254318124,0.6721527004057577
reflook_socword,411,6,34,12,70,0.6115699717354138,0.5959307664136883,0.6272091770571394
reflook_v4,328,10,38,8,84,0.6257556163962052,0.610220948811508,0.6412902839809025
